"lokasi","Date","suhu2m(degC)","dew2m(degC)","rh2m(%)","wspeed(m/s)","wdir(deg)","lcloud(%)","mcloud(%)","hcloud(%)","surpre(Pa)","clmix(kg/kg)","wamix(kg/kg)","outlr(W/m2)","pblh(m)","lifcl(m)","cape(j/kg)","mdbz","t950(degC)","rh950(%)","ws950(m/s)","wd950(deg)","t800(degC)","rh800(%)","ws800(m/s)","wd800(deg)","t500(degC)","rh500(%)","ws500(m/s)","wd500(deg)","prec_nwp","LAT","LON","ELEV"
"96001",2023-10-17 15:00:00,27.4007,23.6856,80.3053,4.25554,191.086,0.374474,1,0.855219,100903,0,0.0171373,180.376,526.076,616.078,406.014,13.7824,23.0678,74.5583,5.87159,191.464,16.0404,73.3359,8.18965,242.589,-4.71925,94.9932,4.6835,76.8328,2.92348e-19,5.87655,95.33785,126
"96001",2023-10-17 18:00:00,27.4089,23.0971,77.4673,3.2,228.616,0.262561,1,0.872848,100735,0,0.0166525,196.935,491.829,689.544,287.453,19.0351,23.3155,71.6113,4.21652,217.437,15.9013,73.9679,6.67126,204.711,-4.99763,95.7026,4.83021,124.451,1.03463e-19,5.87655,95.33785,126
"96001",2023-10-17 21:00:00,27.382,23.8747,81.3127,6.43993,224.359,0.4315,1,0.849396,100655,0,0.0171854,232.87,558.189,618.759,620.873,0,22.9912,75.4084,8.67978,222.806,15.6937,73.026,5.34901,203.909,-5.10086,95.3166,4.00113,107.234,0,5.87655,95.33785,126
"96001",2023-10-18 00:00:00,27.4679,23.7839,80.4639,6.91585,220.916,0.317385,1,0.524404,100769,0,0.0169098,233.885,532.027,644.846,428.753,0,22.9836,77.4899,8.76241,220.21,15.4617,74.9905,4.76448,191.209,-4.39951,84.1607,3.31394,114.242,0,5.87655,95.33785,126
"96001",2023-10-18 03:00:00,27.9673,23.2775,75.7992,6.28717,214.113,0.252877,0.785813,0.610115,100950,0,0.016377,268.016,700.017,786.83,229.671,0,23.1852,76.8484,7.11073,212.309,14.9336,76.537,3.94272,217.036,-4.74009,86.556,3.79705,166.585,0,5.87655,95.33785,126
"96001",2023-10-18 06:00:00,28.3011,23.5508,75.573,5.78495,241.091,0.24021,0.755296,0.811793,100714,0,0.016706,264.326,670.005,808.29,488.125,0,23.7829,74.1536,6.31759,232.9,15.0177,80.5471,3.77698,228.385,-5.19852,92.7813,4.67956,172.852,1.55096e-24,5.87655,95.33785,126
"96001",2023-10-18 09:00:00,27.9533,23.9093,78.803,6.70786,253.842,0.291083,0.570252,0.585659,100489,0,0.0173463,271.656,584.411,688.77,713.213,0,23.9083,71.8664,7.3579,247.456,15.6028,76.7951,3.47592,228.232,-4.66766,84.7617,3.70497,170.824,0,5.87655,95.33785,126
"96001",2023-10-18 12:00:00,27.7598,24.2975,81.5771,5.61019,243.995,0.621164,0.591048,0.5946,100665,0,0.0178275,269.698,591.431,596.182,971.509,0,22.9586,87.5573,6.83501,240.51,15.8167,74.1402,2.18383,244.104,-4.82901,85.1101,2.30085,174.46,5.58605e-23,5.87655,95.33785,126
"96001",2023-10-18 15:00:00,27.745,24.2921,81.6211,4.1673,216.11,0.71597,0.546467,0.641357,100898,0,0.0178689,237.582,703.278,579.926,1040.96,0,22.6288,92.8372,4.87948,214.472,15.9586,71.1708,0.954637,204.033,-5.06787,86.2924,1.94084,169.968,0.000663343,5.87655,95.33785,126
"96001",2023-10-18 18:00:00,27.4049,24.5489,84.552,3.82343,223.53,0.766676,0.505952,0.730429,100757,0,0.0183834,209.992,580.156,488.294,1400.13,0,22.9846,85.2904,3.98718,214.572,16.1319,64.9975,0.695905,149.679,-5.43783,88.7069,2.03534,155.396,0,5.87655,95.33785,126
